cle_obs,code_departement,nom_departement,annee_ref,type_info_geo
1093765,974,"La Réunion",2017,Rattachement
1093766,974,"La Réunion",2017,Rattachement
1093767,974,"La Réunion",2017,Rattachement
1093768,974,"La Réunion",2017,Rattachement
1093769,974,"La Réunion",2017,Rattachement
1093770,974,"La Réunion",2017,Rattachement
1093771,974,"La Réunion",2017,Rattachement
1093772,974,"La Réunion",2017,Rattachement
1093773,974,"La Réunion",2017,Rattachement
1093774,974,"La Réunion",2017,Rattachement
1093775,974,"La Réunion",2017,Rattachement
1093776,974,"La Réunion",2017,Rattachement
1093777,974,"La Réunion",2017,Rattachement
1093778,974,"La Réunion",2017,Rattachement
1093779,974,"La Réunion",2017,Rattachement
1093780,974,"La Réunion",2017,Rattachement
1093781,974,"La Réunion",2017,Rattachement
1093782,974,"La Réunion",2017,Rattachement
1093783,974,"La Réunion",2017,Rattachement
1093784,974,"La Réunion",2017,Rattachement
1093785,974,"La Réunion",2017,Rattachement
1093786,974,"La Réunion",2017,Rattachement
1093787,974,"La Réunion",2017,Rattachement
1093788,974,"La Réunion",2017,Rattachement
1093789,974,"La Réunion",2017,Rattachement
1093790,974,"La Réunion",2017,Rattachement
1093791,974,"La Réunion",2017,Rattachement
1093792,974,"La Réunion",2017,Rattachement
1093793,974,"La Réunion",2017,Rattachement
1093794,974,"La Réunion",2017,Rattachement
1093795,974,"La Réunion",2017,Rattachement
1093796,974,"La Réunion",2017,Rattachement
1093797,974,"La Réunion",2017,Rattachement
1093798,974,"La Réunion",2017,Rattachement
1093799,974,"La Réunion",2017,Rattachement
1093800,974,"La Réunion",2017,Rattachement
1093801,974,"La Réunion",2017,Rattachement
1093802,974,"La Réunion",2017,Rattachement
1093803,974,"La Réunion",2017,Rattachement
1093804,974,"La Réunion",2017,Rattachement
1093805,974,"La Réunion",2017,Rattachement
1093806,974,"La Réunion",2017,Rattachement
1093807,974,"La Réunion",2017,Rattachement
1093808,974,"La Réunion",2017,Rattachement
1093809,974,"La Réunion",2017,Rattachement
1093810,974,"La Réunion",2017,Rattachement
1093811,974,"La Réunion",2017,Rattachement
1093812,974,"La Réunion",2017,Rattachement
1093813,974,"La Réunion",2017,Rattachement
1093814,974,"La Réunion",2017,Rattachement
1093815,974,"La Réunion",2017,Rattachement
1093816,974,"La Réunion",2017,Rattachement
1093817,974,"La Réunion",2017,Rattachement
1093818,974,"La Réunion",2017,Rattachement
1093819,974,"La Réunion",2017,Rattachement
1093820,974,"La Réunion",2017,Rattachement
1093821,974,"La Réunion",2017,Rattachement
1093822,974,"La Réunion",2017,Rattachement
1093823,974,"La Réunion",2017,Rattachement
1093824,974,"La Réunion",2017,Rattachement
1093825,974,"La Réunion",2017,Rattachement
1093826,974,"La Réunion",2017,Rattachement
1093827,974,"La Réunion",2017,Rattachement
1093828,974,"La Réunion",2017,Rattachement
1093829,974,"La Réunion",2017,Rattachement
1093830,974,"La Réunion",2017,Rattachement
1093831,974,"La Réunion",2017,Rattachement
1093832,974,"La Réunion",2017,Rattachement
1093833,974,"La Réunion",2017,Rattachement
1093834,974,"La Réunion",2017,Rattachement
1093835,974,"La Réunion",2017,Rattachement
1093836,974,"La Réunion",2017,Rattachement
1093837,974,"La Réunion",2017,Rattachement
1093838,974,"La Réunion",2017,Rattachement
1093839,974,"La Réunion",2017,Rattachement
1093840,974,"La Réunion",2017,Rattachement
1093841,974,"La Réunion",2017,Rattachement
1093842,974,"La Réunion",2017,Rattachement
1093843,974,"La Réunion",2017,Rattachement
1093844,974,"La Réunion",2017,Rattachement
1093845,974,"La Réunion",2017,Rattachement
1093846,974,"La Réunion",2017,Rattachement
1093847,974,"La Réunion",2017,Rattachement
1093848,974,"La Réunion",2017,Rattachement
1093849,974,"La Réunion",2017,Rattachement
1093850,974,"La Réunion",2017,Rattachement
1093851,974,"La Réunion",2017,Rattachement
1093852,974,"La Réunion",2017,Rattachement
1093853,974,"La Réunion",2017,Rattachement
1093854,974,"La Réunion",2017,Rattachement
1093855,974,"La Réunion",2017,Rattachement
1093856,974,"La Réunion",2017,Rattachement
1093857,974,"La Réunion",2017,Rattachement
1093858,974,"La Réunion",2017,Rattachement
