cle_obs,code_maille,version_ref,nom_ref,type_info_geo
1197080,2kmUTM40E320S7656,2019,"SINP 974",Rattachement
1191031,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1196412,2kmUTM40E318S7662,2019,"SINP 974",Rattachement
1095711,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1186805,2kmUTM40E320S7656,2019,"SINP 974",Rattachement
1198590,2kmUTM40E320S7656,2019,"SINP 974",Rattachement
1184380,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1188153,2kmUTM40E320S7654,2019,"SINP 974",Rattachement
1187947,2kmUTM40E320S7654,2019,"SINP 974",Rattachement
1190109,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1181851,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1196441,2kmUTM40E318S7662,2019,"SINP 974",Rattachement
1094750,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1094530,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1094862,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1179002,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1185814,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1195330,2kmUTM40E314S7672,2019,"SINP 974",Rattachement
1179441,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1183412,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1095014,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1191612,2kmUTM40E342S7638,2019,"SINP 974",Rattachement
1095308,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1189839,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1095339,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1183392,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1183154,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1186950,2kmUTM40E320S7656,2019,"SINP 974",Rattachement
1094457,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1183526,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1191938,2kmUTM40E346S7636,2019,"SINP 974",Rattachement
1184313,2kmUTM40E316S7664,2019,"SINP 974",Rattachement
1093580,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1189016,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
1190873,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1189325,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
1196592,2kmUTM40E320S7660,2019,"SINP 974",Rattachement
1178984,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1191927,2kmUTM40E346S7636,2019,"SINP 974",Rattachement
1178751,2kmUTM40E314S7670,2019,"SINP 974",Rattachement
1190515,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1188863,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
1185875,2kmUTM40E320S7658,2019,"SINP 974",Rattachement
1184789,2kmUTM40E318S7662,2019,"SINP 974",Rattachement
1192883,2kmUTM40E348S7636,2019,"SINP 974",Rattachement
1197467,2kmUTM40E314S7668,2019,"SINP 974",Rattachement
1187165,2kmUTM40E320S7656,2019,"SINP 974",Rattachement
1094028,2kmUTM40E340S7638,2019,"SINP 974",Rattachement
1191962,2kmUTM40E346S7636,2019,"SINP 974",Rattachement
1181586,2kmUTM40E314S7666,2019,"SINP 974",Rattachement
1188826,2kmUTM40E326S7646,2019,"SINP 974",Rattachement
