cle_obs,nom,definition,valeur,unite,thematique,type
1179020,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1185008,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1190660,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1179850,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1097370,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1197990,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1093850,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1178403,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1196176,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1095668,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1192783,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1094342,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1189234,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1097186,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1186033,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1192448,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1191549,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1097123,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1181131,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1196066,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1178607,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1094611,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1190072,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1188233,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1180742,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1095835,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1178527,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1177443,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1189736,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1096517,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1181327,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1187408,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1184731,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1180253,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1197019,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1187837,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1177882,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1095724,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1189611,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1095330,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1178074,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1179265,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1192770,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1095217,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1182906,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1188996,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1180893,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1198706,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1192829,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1190303,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1183187,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1183625,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1095662,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
