cle_obs,code_me,version_me,date_me,type_info_geo
1182666,FRLC05,2,2016-11-01,Rattachement
1183911,FRLC05,2,2016-11-01,Rattachement
1178896,FRLC06,2,2016-11-01,Rattachement
1095862,FRLC11,2,2016-11-01,Rattachement
1178199,FRLC06,2,2016-11-01,Rattachement
1196482,FRLC05,2,2016-11-01,Rattachement
1179559,FRLC05,2,2016-11-01,Rattachement
1187983,FRLC05,2,2016-11-01,Rattachement
1095542,FRLC11,2,2016-11-01,Rattachement
1184654,FRLC05,2,2016-11-01,Rattachement
1096315,FRLC11,2,2016-11-01,Rattachement
1095857,FRLC11,2,2016-11-01,Rattachement
1095810,FRLC11,2,2016-11-01,Rattachement
1186931,FRLC05,2,2016-11-01,Rattachement
1184576,FRLC05,2,2016-11-01,Rattachement
1182169,FRLC05,2,2016-11-01,Rattachement
1184276,FRLC05,2,2016-11-01,Rattachement
1189800,FRLC09,2,2016-11-01,Rattachement
1095729,FRLC11,2,2016-11-01,Rattachement
1180076,FRLC05,2,2016-11-01,Rattachement
1179420,FRLC06,2,2016-11-01,Rattachement
1094340,FRLC11,2,2016-11-01,Rattachement
1191893,FRLC12,2,2016-11-01,Rattachement
1179414,FRLC05,2,2016-11-01,Rattachement
1191065,FRLC09,2,2016-11-01,Rattachement
1183787,FRLC05,2,2016-11-01,Rattachement
1180311,FRLC05,2,2016-11-01,Rattachement
1192128,FRLC12,2,2016-11-01,Rattachement
1178023,FRLC06,2,2016-11-01,Rattachement
1189637,FRLC09,2,2016-11-01,Rattachement
1188654,FRLC09,2,2016-11-01,Rattachement
1183582,FRLC06,2,2016-11-01,Rattachement
1181284,FRLC05,2,2016-11-01,Rattachement
1182725,FRLC05,2,2016-11-01,Rattachement
1191862,FRLC12,2,2016-11-01,Rattachement
1180126,FRLC05,2,2016-11-01,Rattachement
1185606,FRLC05,2,2016-11-01,Rattachement
1188768,FRLC09,2,2016-11-01,Rattachement
1178472,FRLC05,2,2016-11-01,Rattachement
1186267,FRLC05,2,2016-11-01,Rattachement
1190852,FRLC09,2,2016-11-01,Rattachement
1181991,FRLC05,2,2016-11-01,Rattachement
1195713,FRLC06,2,2016-11-01,Rattachement
1096133,FRLC11,2,2016-11-01,Rattachement
1182538,FRLC05,2,2016-11-01,Rattachement
1198667,FRLC05,2,2016-11-01,Rattachement
1180855,FRLC05,2,2016-11-01,Rattachement
1190901,FRLC09,2,2016-11-01,Rattachement
1178833,FRLC06,2,2016-11-01,Rattachement
1181083,FRLC05,2,2016-11-01,Rattachement
1178749,FRLC05,2,2016-11-01,Rattachement
1190999,FRLC11,2,2016-11-01,Rattachement
1093623,FRLC11,2,2016-11-01,Rattachement
1187214,FRLC08,2,2016-11-01,Rattachement
1177619,FRLC05,2,2016-11-01,Rattachement
1196309,FRLC05,2,2016-11-01,Rattachement
1093885,FRLC11,2,2016-11-01,Rattachement
1197663,FRLC11,2,2016-11-01,Rattachement
1184946,FRLC05,2,2016-11-01,Rattachement
1192636,FRLC12,2,2016-11-01,Rattachement
1184976,FRLC05,2,2016-11-01,Rattachement
